time_ps,num_dissolved,fraction_dissolved,tablet_radius_nm
0.000,0,0.000000,2.5073
0.010,0,0.000000,2.5073
0.020,0,0.000000,2.5073
0.030,0,0.000000,2.5073
0.040,0,0.000000,2.5073
0.050,0,0.000000,2.5073
0.060,0,0.000000,2.5073
0.070,0,0.000000,2.5073
0.080,0,0.000000,2.5073
0.090,0,0.000000,2.5073
0.100,0,0.000000,2.5073
0.110,0,0.000000,2.5073
0.120,0,0.000000,2.5072
0.130,0,0.000000,2.5072
0.140,0,0.000000,2.5072
0.150,0,0.000000,2.5071
0.160,0,0.000000,2.5071
0.170,0,0.000000,2.5070
0.180,0,0.000000,2.5069
0.190,0,0.000000,2.5069
0.200,0,0.000000,2.5068
0.210,0,0.000000,2.5068
0.220,0,0.000000,2.5067
0.230,0,0.000000,2.5066
0.240,0,0.000000,2.5066
0.250,0,0.000000,2.5065
0.260,0,0.000000,2.5065
0.270,0,0.000000,2.5065
0.280,0,0.000000,2.5064
0.290,0,0.000000,2.5064
0.300,0,0.000000,2.5063
0.310,0,0.000000,2.5063
0.320,0,0.000000,2.5062
0.330,0,0.000000,2.5062
0.340,0,0.000000,2.5061
0.350,0,0.000000,2.5061
0.360,0,0.000000,2.5060
0.370,0,0.000000,2.5060
0.380,0,0.000000,2.5059
0.390,0,0.000000,2.5058
0.400,0,0.000000,2.5058
0.410,0,0.000000,2.5057
0.420,0,0.000000,2.5056
0.430,0,0.000000,2.5056
0.440,0,0.000000,2.5055
0.450,0,0.000000,2.5055
0.460,0,0.000000,2.5054
0.470,0,0.000000,2.5054
0.480,0,0.000000,2.5054
0.490,0,0.000000,2.5054
0.500,0,0.000000,2.5054
0.510,0,0.000000,2.5054
0.520,0,0.000000,2.5054
0.530,0,0.000000,2.5054
0.540,0,0.000000,2.5054
0.550,0,0.000000,2.5054
0.560,0,0.000000,2.5054
0.570,0,0.000000,2.5054
0.580,0,0.000000,2.5054
0.590,0,0.000000,2.5054
0.600,0,0.000000,2.5054
0.610,0,0.000000,2.5055
0.620,0,0.000000,2.5055
0.630,0,0.000000,2.5055
0.640,0,0.000000,2.5055
0.650,0,0.000000,2.5055
0.660,0,0.000000,2.5056
0.670,0,0.000000,2.5056
0.680,0,0.000000,2.5056
0.690,0,0.000000,2.5057
0.700,0,0.000000,2.5057
0.710,0,0.000000,2.5057
0.720,0,0.000000,2.5058
0.730,0,0.000000,2.5058
0.740,0,0.000000,2.5059
0.750,0,0.000000,2.5059
0.760,0,0.000000,2.5060
0.770,0,0.000000,2.5060
0.780,0,0.000000,2.5061
0.790,0,0.000000,2.5061
0.800,0,0.000000,2.5062
0.810,0,0.000000,2.5062
0.820,0,0.000000,2.5063
0.830,0,0.000000,2.5063
0.840,0,0.000000,2.5064
0.850,0,0.000000,2.5064
0.860,0,0.000000,2.5064
0.870,0,0.000000,2.5065
0.880,0,0.000000,2.5065
0.890,0,0.000000,2.5065
0.900,0,0.000000,2.5066
0.910,0,0.000000,2.5066
0.920,0,0.000000,2.5066
0.930,0,0.000000,2.5066
0.940,0,0.000000,2.5067
0.950,0,0.000000,2.5067
0.960,0,0.000000,2.5067
0.970,0,0.000000,2.5066
0.980,0,0.000000,2.5066
0.990,0,0.000000,2.5066
1.000,0,0.000000,2.5067
