time_ps,num_dissolved,fraction_dissolved,tablet_radius_nm
0.000,0,0.000000,2.5073
5.000,2,0.010000,2.6108
10.000,5,0.025000,2.7284
15.000,6,0.030000,2.8273
20.000,5,0.025000,2.9144
25.000,9,0.045000,3.0246
30.000,10,0.050000,3.1159
35.000,12,0.060000,3.2179
40.000,12,0.060000,3.2661
45.000,13,0.065000,3.2988
50.000,8,0.040000,3.3825
55.000,14,0.070000,3.4426
60.000,14,0.070000,3.4977
65.000,13,0.065000,3.5796
70.000,12,0.060000,3.6253
75.000,12,0.060000,3.6897
80.000,17,0.085000,3.7746
85.000,12,0.060000,3.8489
90.000,10,0.050000,3.8960
95.000,18,0.090000,3.9294
100.000,11,0.055000,3.9935
105.000,11,0.055000,4.0739
110.000,12,0.060000,4.1323
115.000,16,0.080000,4.1591
120.000,15,0.075000,4.2296
125.000,16,0.080000,4.2919
130.000,14,0.070000,4.3286
135.000,10,0.050000,4.4115
140.000,17,0.085000,4.4624
145.000,16,0.080000,4.4874
150.000,17,0.085000,4.5309
155.000,11,0.055000,4.5929
160.000,9,0.045000,4.6668
165.000,14,0.070000,4.7226
170.000,14,0.070000,4.7837
175.000,13,0.065000,4.8240
180.000,13,0.065000,4.8907
185.000,15,0.075000,4.9338
190.000,19,0.095000,4.9566
195.000,9,0.045000,5.0044
200.000,10,0.050000,5.0606
205.000,17,0.085000,5.1223
210.000,13,0.065000,5.1541
215.000,12,0.060000,5.1909
220.000,10,0.050000,5.2270
225.000,15,0.075000,5.2700
230.000,13,0.065000,5.3013
235.000,9,0.045000,5.3268
240.000,15,0.075000,5.3974
245.000,8,0.040000,5.4307
250.000,15,0.075000,5.4680
255.000,12,0.060000,5.5184
260.000,10,0.050000,5.5464
265.000,11,0.055000,5.5861
270.000,11,0.055000,5.6353
275.000,16,0.080000,5.6886
280.000,6,0.030000,5.7429
285.000,8,0.040000,5.7846
290.000,8,0.040000,5.8565
295.000,15,0.075000,5.8926
300.000,15,0.075000,5.9214
305.000,10,0.050000,5.9606
310.000,11,0.055000,5.9844
315.000,13,0.065000,6.0448
320.000,12,0.060000,6.0900
325.000,9,0.045000,6.1447
330.000,11,0.055000,6.1855
335.000,8,0.040000,6.2457
340.000,10,0.050000,6.2844
345.000,12,0.060000,6.3195
350.000,8,0.040000,6.3268
355.000,6,0.030000,6.3483
360.000,8,0.040000,6.3859
365.000,6,0.030000,6.4037
370.000,14,0.070000,6.4366
375.000,8,0.040000,6.4549
380.000,8,0.040000,6.5011
385.000,12,0.060000,6.5476
390.000,12,0.060000,6.6141
395.000,7,0.035000,6.6266
400.000,6,0.030000,6.6560
405.000,7,0.035000,6.6880
410.000,10,0.050000,6.7423
415.000,14,0.070000,6.7920
420.000,6,0.030000,6.8193
425.000,9,0.045000,6.8395
430.000,8,0.040000,6.8699
435.000,8,0.040000,6.9010
440.000,6,0.030000,6.9545
445.000,8,0.040000,6.9776
450.000,9,0.045000,6.9846
455.000,6,0.030000,6.9947
460.000,6,0.030000,7.0161
465.000,5,0.025000,7.0663
470.000,5,0.025000,7.1017
475.000,2,0.010000,7.1250
480.000,5,0.025000,7.1707
485.000,5,0.025000,7.2182
490.000,9,0.045000,7.2357
495.000,7,0.035000,7.2814
500.000,7,0.035000,7.3444
