time_ps,num_dissolved,fraction_dissolved,tablet_radius_nm
0.000,0,0.000000,2.5071
1.500,0,0.000000,2.5212
3.000,0,0.000000,2.5623
4.500,2,0.010000,2.6001
6.000,3,0.015000,2.6483
7.500,0,0.000000,2.7049
9.000,2,0.010000,2.7565
10.500,5,0.025000,2.8053
12.000,4,0.020000,2.8489
13.500,5,0.025000,2.8905
15.000,7,0.035000,2.9356
16.500,6,0.030000,2.9809
18.000,6,0.030000,3.0163
19.500,9,0.045000,3.0570
21.000,7,0.035000,3.0924
22.500,8,0.040000,3.1170
24.000,8,0.040000,3.1482
25.500,9,0.045000,3.1813
27.000,9,0.045000,3.2177
28.500,9,0.045000,3.2458
30.000,10,0.050000,3.2636
31.500,12,0.060000,3.2873
33.000,12,0.060000,3.3164
34.500,14,0.070000,3.3551
36.000,15,0.075000,3.3729
37.500,17,0.085000,3.4010
39.000,18,0.090000,3.4254
40.500,13,0.065000,3.4424
42.000,17,0.085000,3.4572
43.500,16,0.080000,3.4738
45.000,16,0.080000,3.5027
46.500,19,0.095000,3.5299
48.000,20,0.100000,3.5642
49.500,20,0.100000,3.5914
51.000,18,0.090000,3.6104
52.500,21,0.105000,3.6246
54.000,22,0.110000,3.6397
55.500,23,0.115000,3.6601
57.000,20,0.100000,3.6875
58.500,19,0.095000,3.7058
60.000,25,0.125000,3.7228
61.500,22,0.110000,3.7368
63.000,23,0.115000,3.7616
64.500,27,0.135000,3.7830
66.000,24,0.120000,3.8022
67.500,22,0.110000,3.8199
69.000,22,0.110000,3.8412
70.500,20,0.100000,3.8512
72.000,19,0.095000,3.8720
73.500,25,0.125000,3.8882
75.000,26,0.130000,3.8989
76.500,25,0.125000,3.9212
78.000,24,0.120000,3.9424
79.500,23,0.115000,3.9554
81.000,24,0.120000,3.9737
82.500,25,0.125000,3.9975
84.000,27,0.135000,4.0265
85.500,28,0.140000,4.0616
87.000,24,0.120000,4.0894
88.500,25,0.125000,4.1023
90.000,30,0.150000,4.1180
91.500,23,0.115000,4.1347
93.000,29,0.145000,4.1570
94.500,30,0.150000,4.1731
96.000,25,0.125000,4.1850
97.500,23,0.115000,4.2050
99.000,25,0.125000,4.2329
100.500,26,0.130000,4.2673
102.000,26,0.130000,4.2848
103.500,24,0.120000,4.3170
105.000,27,0.135000,4.3460
106.500,29,0.145000,4.3525
108.000,29,0.145000,4.3552
109.500,24,0.120000,4.3609
111.000,27,0.135000,4.3711
112.500,28,0.140000,4.3863
114.000,34,0.170000,4.4121
115.500,32,0.160000,4.4306
117.000,33,0.165000,4.4554
118.500,34,0.170000,4.4715
120.000,34,0.170000,4.4890
121.500,35,0.175000,4.5143
123.000,41,0.205000,4.5414
124.500,42,0.210000,4.5629
126.000,38,0.190000,4.5813
127.500,36,0.180000,4.5860
129.000,37,0.185000,4.6050
130.500,42,0.210000,4.6292
132.000,45,0.225000,4.6346
133.500,42,0.210000,4.6521
135.000,43,0.215000,4.6642
136.500,45,0.225000,4.6782
138.000,42,0.210000,4.6877
139.500,41,0.205000,4.7031
141.000,42,0.210000,4.7215
142.500,42,0.210000,4.7377
144.000,38,0.190000,4.7417
145.500,37,0.185000,4.7553
147.000,35,0.175000,4.7679
148.500,35,0.175000,4.7781
150.000,37,0.185000,4.7921
